"","X",".groups","time","HR1","HR2","Resp1","Resp2","HR1x","HR2x","Resp1x","Resp2x"
"1",1,1,26.181059,0.120437280325565,0.707665285529685,-0.700173268334295,0.569664693929269,0.120437280325565,0.707665285529685,-0.700173268334295,0.569664693929269
"2",2,2,26.182726,-0.17869407174927,-1.61016195649265,-0.968090780964421,0.336511430297333,-0.17869407174927,-1.61016195649265,-0.968090780964421,0.336511430297333
"3",3,3,26.184392,-1.95709360480269,-0.132239158950589,-3.05103109269384,-0.155461870281965,-1.95709360480269,-0.132239158950589,-3.05103109269384,-0.155461870281965
"4",4,4,26.186057,-1.09900031664334,0.363569885828443,0.872621373543784,0.201321826378801,-1.09900031664334,0.363569885828443,0.872621373543784,0.201321826378801
"5",5,5,26.187724,-0.217676614971789,0.533886090072151,-0.151282267641117,0.692578932082713,-0.217676614971789,0.533886090072151,-0.151282267641117,0.692578932082713
"6",6,6,26.189392,-0.477029861717523,-1.30003535242522,-1.29343078670264,0.448471409127241,-0.477029861717523,-1.30003535242522,-1.29343078670264,0.448471409127241
"7",7,7,26.191058,-0.794300029822429,-1.61016195649265,1.0023154744423,2.19496661360291,-0.794300029822429,-1.61016195649265,1.0023154744423,2.19496661360291
"8",8,8,26.192723,0.838352525305172,-0.372124810367104,1.07941334476969,0.366686781982656,0.838352525305172,-0.372124810367104,1.07941334476969,0.366686781982656
"9",9,9,26.194393,1.20781156760186,-1.20895868350155,1.08422626218695,-0.469171706715598,1.20781156760186,-1.20895868350155,1.08422626218695,-0.469171706715598
"10",10,10,26.19606,-1.50266852952305,-0.588028617993095,0.380059678237185,-0.661349084906065,-1.50266852952305,-0.588028617993095,0.380059678237185,-0.661349084906065
"11",11,11,26.197725,0.623709868949347,-0.659835787124804,-0.0911889712451419,0.480723003995247,0.623709868949347,-0.659835787124804,-0.0911889712451419,0.480723003995247
"12",12,12,26.199392,0.584727325726828,0.196874081490101,1.12110438836508,0.149020858791136,0.584727325726828,0.196874081490101,1.12110438836508,0.149020858791136
"13",13,13,26.20106,1.35865014300981,-0.0515829454067111,-0.270433723982215,1.45969379731988,1.35865014300981,-0.0515829454067111,-0.270433723982215,1.45969379731988
"14",14,14,26.202725,0.0478820162052879,-0.866759901124649,0.760323748258317,0.779969145998626,0.0478820162052879,-0.866759901124649,0.760323748258317,0.779969145998626
"15",15,15,26.204391,-0.908383635906289,1.18965069901788,1.00989461275325,1.80617139065471,-0.908383635906289,1.18965069901788,1.00989461275325,1.80617139065471
"16",16,16,26.206058,0.471121056906917,0.279828461930428,-0.638845993204047,0.51598792626839,0.471121056906917,0.279828461930428,-0.638845993204047,0.51598792626839
"17",17,17,26.207724,0.340648871427466,-0.496279499139179,0.969294532692755,-0.379110255829376,0.340648871427466,-0.496279499139179,0.969294532692755,-0.379110255829376
"18",18,18,26.209392,-0.247430637757956,0.196874081490101,-1.2414922481137,1.89405136781093,-0.247430637757956,0.196874081490101,-1.2414922481137,1.89405136781093
"19",19,19,26.211057,-0.0240367982297255,-1.20895868350155,0.823979524356322,0.216388244629957,-0.0240367982297255,-1.20895868350155,0.823979524356322,0.216388244629957
"20",20,20,26.212726,-0.340193179385418,1.96724963521374,0.0744293021921314,-1.6456231186062,-0.340193179385418,1.96724963521374,0.0744293021921314,-1.6456231186062
"21",21,21,26.214393,0.414636147339593,-0.020192504140278,-0.421184644406906,0.317242936788105,0.414636147339593,-0.020192504140278,-0.421184644406906,0.317242936788105
"22",22,22,26.216059,-1.19494510669713,-1.30003535242522,-1.77446519003714,-1.77320823665838,-1.19494510669713,-1.30003535242522,-1.77446519003714,-1.77320823665838
"23",23,23,26.217725,-0.0946827132942085,0.649266660969228,0.717942761974799,0.373650156391172,-0.0946827132942085,0.649266660969228,0.717942761974799,0.373650156391172
"24",24,24,26.219393,0.157351362070971,0.252124532219806,-0.023700254352664,-2.19766919876291,0.157351362070971,0.252124532219806,-0.023700254352664,-2.19766919876291
"25",25,25,26.221059,0.642007797400732,-0.335025628084676,0.510118323321985,-1.1877822904253,0.642007797400732,-0.335025628084676,0.510118323321985,-1.1877822904253
